Kepler_OI_Name,Number_of_Planets,Planet_Radius_Earth,Equalibrium_Temp_K,Orbit_Period_Days,Star_Radius_Sun,Star_Temp_K,Star_Mass_Sun,Star_Surface_Gravity,Planet_Star_Radius_Ratio,Status
K02963.02,2,1.42,1064.0,7.35101287,1.262,5951.0,1.117,4.283,0.010277,2
K02720.01,1,1.26,1211.0,6.57159435,1.432,6042.0,1.029,4.139,0.008051,2
K02797.01,1,1.65,2047.0,0.868122253,1.084,6116.0,1.181,4.44,0.013923,2
K02942.01,2,1.98,699.0,13.84301228,0.837,5745.0,0.928,4.559,0.02167,2
K02876.01,2,1.37,836.0,5.1952021,0.738,5044.0,0.708,4.551,0.016999,2
K02958.01,1,1.89,634.0,31.6084371,1.033,6341.0,1.083,4.446,0.016769,2
K02959.01,1,2.04,455.0,16.1558656,0.53,4504.0,0.528,4.713,0.035167,2
K02807.01,1,2.34,1472.0,3.375716723,1.282,6310.0,1.122,4.273,0.016741,2
K02882.01,2,2.72,281.0,75.8580035,0.614,4474.0,0.645,4.67,0.040531,2
K02968.01,1,1.99,1389.0,10.16435076,2.71,6133.0,1.401,3.718,0.00674,2
K02677.01,1,9.91,354.0,237.787237,1.853,5185.0,1.08,3.936,0.048997,2
K02813.01,1,14.81,5173.0,0.698461304,12.558,4676.0,2.17,2.577,0.010803,2
K02679.01,1,29.64,651.0,110.7556272,2.668,6525.0,1.536,3.772,0.101746,2
K02680.01,1,23.4,624.0,14.4079035,0.728,5440.0,0.814,4.617,0.294294,2
K02739.02,2,1.2,989.0,7.0956395,1.174,5480.0,0.915,4.26,0.009348,2
K02821.01,1,3.33,404.0,79.2450351,0.917,5648.0,0.892,4.464,0.033253,2
K02683.01,1,4.49,321.0,126.4451275,0.795,5613.0,0.888,4.581,0.051738,2
K02687.01,2,0.74,1455.0,1.716828304,0.902,5808.0,0.987,4.522,0.007546,2
K02899.01,1,1.54,915.0,5.77207177,0.86,5591.0,0.977,4.559,0.016375,2
K02900.01,1,2.08,423.0,46.151253,0.769,5204.0,0.723,4.525,0.024756,2
K02689.01,1,6.98,301.0,165.3447044,0.812,5594.0,0.798,4.52,0.078728,2
K02691.01,1,3.05,283.0,97.4463194,0.686,4735.0,0.73,4.627,0.04074,2
K02750.01,1,11.12,481.0,174.636181,2.232,5974.0,1.313,3.859,0.045604,2
K02833.01,1,1.48,2223.0,1.791877025,2.139,6002.0,1.156,3.841,0.006353,2
K02906.02,3,1.8,424.0,145.881936,1.424,6052.0,1.128,4.183,0.011555,2
K02695.01,1,20.23,1147.0,2.50343279,0.84,5174.0,0.782,4.483,0.220575,2
K02696.01,2,9.1,727.0,96.4562198,2.704,7029.0,1.704,3.806,0.030816,2
K02696.02,2,5.8,940.0,44.5643831,2.704,7029.0,1.704,3.806,0.019632,2
K02758.01,1,19.25,555.0,253.374581,5.949,5177.0,2.122,3.216,0.02963,2
K02914.01,1,2.89,1110.0,21.1181653,2.566,6461.0,1.443,3.779,0.01031,2
K02915.01,1,0.98,998.0,5.06092282,0.911,5637.0,0.939,4.492,0.009874,2
K02700.01,1,1.12,1127.0,0.910020582,0.533,4297.0,0.55,4.725,0.019204,2
K02759.01,1,1.01,1417.0,1.07808492,0.814,4906.0,0.783,4.511,0.011362,2
K03007.01,1,1.47,782.0,11.1916199,0.956,5646.0,0.97,4.464,0.014113,2
K03086.01,1,3.0,287.0,174.731515,0.897,5201.0,0.82,4.447,0.030591,2
K03089.01,1,0.88,1671.0,0.858546796,0.864,5269.0,0.843,4.491,0.009355,2
K00304.02,2,0.46,969.0,5.518195,0.881,5767.0,0.979,4.538,0.004772,2
K00366.01,1,23.23,777.0,75.1122132,3.354,6201.0,1.694,3.616,0.063426,2
K03013.01,1,19.39,1084.0,3.76562031,0.853,5743.0,0.949,4.553,0.208191,2
K03017.01,1,0.67,1391.0,2.46288834,0.967,5893.0,0.848,4.395,0.006346,2
K03020.01,1,1.9,1107.0,10.9192653,1.972,5745.0,1.234,3.939,0.008821,2
K03022.02,2,1.21,1007.0,5.05368985,0.901,5772.0,0.999,4.528,0.012312,2
K03105.01,1,1.04,887.0,4.21223579,0.7,5116.0,0.698,4.591,0.013564,2
K00316.03,3,2.11,972.0,7.305706326,1.143,5620.0,1.025,4.333,0.016939,2
K00064.01,1,10.35,2005.0,1.951082219,2.426,5302.0,1.258,3.768,0.039073,2
K00379.02,2,1.83,837.0,23.1375919,1.683,6078.0,1.285,4.094,0.009941,2
K03029.01,2,2.24,638.0,18.9763286,0.986,5300.0,0.861,4.385,0.020761,2
K03029.02,2,1.35,919.0,6.34724702,0.986,5300.0,0.861,4.385,0.012538,2
K03111.01,2,0.92,885.0,10.76800074,1.096,5874.0,0.954,4.338,0.007669,2
K03111.02,2,0.66,1199.0,4.32848303,1.096,5874.0,0.954,4.338,0.005511,2
K00319.01,1,10.02,703.0,46.15119482,1.963,5877.0,1.187,3.927,0.046727,2
K00005.01,2,7.14,1441.0,4.780327581,1.787,5937.0,1.197,4.012,0.036574,2
K03031.01,1,1.19,840.0,7.64809462,0.85,5641.0,0.944,4.554,0.012788,2
K03034.01,1,1.66,291.0,31.0209175,0.48,3720.0,0.488,4.764,0.031742,2
K03112.01,1,1.41,1230.0,2.118893997,0.796,5504.0,0.892,4.583,0.016174,2
K03114.01,1,1.01,1291.0,7.49133777,1.71,6177.0,1.051,3.993,0.005396,2
K03037.01,1,1.23,927.0,5.4654174,0.829,5612.0,0.926,4.566,0.013557,2
K03117.01,1,0.87,915.0,6.06664931,0.892,5569.0,0.963,4.521,0.008919,2
K03119.01,1,0.94,529.0,2.184437698,0.25,3421.0,0.236,5.014,0.034479,2
K03123.01,1,1.94,800.0,15.2311195,1.186,5836.0,1.061,4.316,0.014945,2
K03040.01,1,1.59,1077.0,4.8099878,0.934,5988.0,1.021,4.507,0.015608,2
