Number of Planets,Planet-Star Radius Ratio,Orbit Period (Days),Planet Radius (Earth),Equalibrium Temp (K),Star Temp (K),Star Radius,Star Mass,Star Surface Gravity,Status
1,0.068915,272.0868353,5.95,251.0,5587.0,0.791,0.806,4.548,2
3,0.015824,42.0370662,1.66,527.0,5823.0,0.96,0.899,4.427,2
3,0.013379,21.0112068,1.4,663.0,5823.0,0.96,0.899,4.427,2
1,0.026678,8.75059775,2.27,682.0,4942.0,0.779,0.884,4.599,2
1,0.427965,1.714274727,25.0,827.0,3874.0,0.535,0.541,4.715,2
1,0.027625,3.014330766,2.87,1124.0,5209.0,0.953,0.925,4.446,2
4,0.03411,5.644914154,2.66,744.0,4769.0,0.714,0.799,4.622,2
1,0.053942,13.35151248,4.44,585.0,4843.0,0.754,0.755,4.562,2
1,0.091785,1693.663623,10.23,157.0,5923.0,1.021,1.059,4.445,2
4,0.024586,8.74292005,1.92,643.0,4769.0,0.714,0.799,4.622,2
4,0.017009,3.64830183,1.33,860.0,4769.0,0.714,0.799,4.622,2
4,0.015717,2.345863002,1.23,997.0,4769.0,0.714,0.799,4.622,2
2,0.069522,104.8205868,6.45,376.0,5986.0,0.85,0.886,4.527,2
1,0.025847,34.2966363,3.29,584.0,5490.0,1.167,0.911,4.263,2
1,0.102553,31.56904354,11.18,575.0,5654.0,0.998,0.886,4.387,2
2,0.01238,2.42150341,1.62,1532.0,6213.0,1.195,1.27,4.387,2
3,0.006393,0.840594032,0.62,1780.0,5440.0,0.885,0.782,4.438,2
3,0.009191,6.20920207,0.89,914.0,5440.0,0.885,0.782,4.438,2
1,0.008896,20.6654374,0.66,487.0,4830.0,0.676,0.671,4.605,2
1,0.01588,69.8347983,3.51,765.0,7732.0,2.022,1.774,4.075,2
2,0.02711,2.59488443,2.36,1014.0,4748.0,0.797,0.776,4.526,2
1,0.026864,19.18109525,1.72,513.0,5214.0,0.587,0.591,4.673,2
1,0.015211,11.30507984,1.4,744.0,5705.0,0.844,0.936,4.556,2
2,0.009376,9.9824036,1.17,966.0,6273.0,1.139,1.092,4.364,2
1,0.094651,12.68173393,7.25,601.0,4976.0,0.701,0.677,4.577,2
1,0.199089,83.09708021,13.83,329.0,5286.0,0.636,0.626,4.627,2
1,0.020846,0.839961456,1.63,1455.0,4932.0,0.718,0.808,4.618,2
2,0.013676,7.136922,1.38,956.0,6086.0,0.921,1.003,4.511,2
2,0.030358,20.99757968,2.97,582.0,5211.0,0.895,0.817,4.447,2
4,0.010694,5.83393857,1.98,1285.0,5597.0,1.699,0.969,3.963,2
3,0.00871,6.33027476,1.02,1046.0,5900.0,1.07,0.964,4.363,2
1,0.034955,5.59728249,3.28,930.0,5610.0,0.858,0.953,4.551,2
3,0.010418,23.3397956,1.23,653.0,5671.0,1.084,0.983,4.36,2
1,0.025685,51.3901452,3.62,570.0,6074.0,1.292,1.173,4.284,2
2,0.035889,29.5422566,3.15,515.0,5510.0,0.803,0.877,4.572,2
1,0.075675,186.4361811,11.32,353.0,5393.0,1.37,0.926,4.132,2
1,0.020525,35.6364022,1.99,537.0,5926.0,0.887,0.978,4.532,2
1,0.064401,8.98128472,7.19,898.0,5977.0,1.022,1.133,4.473,2
1,0.037986,192.667139,3.64,283.0,5401.0,0.878,0.863,4.487,2
1,0.336767,52.971584,29.02,402.0,5204.0,0.789,0.808,4.55,2
2,0.00867,5.91393977,1.07,1112.0,6194.0,1.129,1.208,4.415,2
1,0.246245,14.62399621,21.92,681.0,5753.0,0.815,0.907,4.57,2
1,0.108981,9.771462706,10.15,799.0,5812.0,0.853,0.947,4.551,2
1,0.127752,281.5628889,10.83,214.0,4810.0,0.776,0.755,4.536,2
4,0.030804,6.93910337,1.41,445.0,3638.0,0.42,0.45,4.844,2
1,0.007567,10.19154678,1.39,1144.0,6212.0,1.684,1.156,4.049,2
3,0.021714,12.89006728,1.93,620.0,4915.0,0.812,0.781,4.512,2
1,0.239908,23.21050996,21.19,595.0,5875.0,0.809,0.895,4.572,2
3,0.014655,4.74666128,1.3,865.0,4915.0,0.812,0.781,4.512,2
