Number of Planets,Planet-Star Radius Ratio,Orbit Period (Days),Planet Radius (Earth),Equalibrium Temp (K),Star Temp (K),Star Radius,Star Mass,Star Surface Gravity,Status
1,0.037414,6.770300385,2.77,812.0,5653.0,0.679,0.767,4.656,1
1,0.396105,0.444291966,27.51,1836.0,5255.0,0.636,0.709,4.678,0
4,0.036455,20.06036336,1.96,361.0,3950.0,0.493,0.502,4.754,1
4,0.033974,46.1842039,1.83,273.0,3950.0,0.493,0.502,4.754,1
4,0.011879,23.9800854,1.31,649.0,5854.0,1.012,0.951,4.406,1
4,0.022312,7.82502168,1.2,494.0,3950.0,0.493,0.502,4.754,1
1,0.08689,3.895936525,7.34,1005.0,5557.0,0.774,0.866,4.592,1
1,0.028938,22.36646466,2.32,536.0,5395.0,0.734,0.821,4.615,1
1,0.080543,1.625522174,9.73,1579.0,5539.0,1.106,0.935,4.322,1
1,0.194187,7.544039,17.47,838.0,5657.0,0.824,0.919,4.567,0
1,0.028718,9.02930689,2.57,757.0,5349.0,0.82,0.824,4.526,1
1,0.118805,10.32803571,13.28,843.0,5627.0,1.024,0.874,4.359,0
5,0.094044,143.2063047,8.9,308.0,5485.0,0.867,0.986,4.556,1
4,0.007192,6.164876,0.79,1021.0,5854.0,1.012,0.951,4.406,1
5,0.128744,60.32494216,12.19,411.0,5485.0,0.867,0.986,4.556,1
5,0.02018,29.1598615,1.91,524.0,5485.0,0.867,0.986,4.556,1
1,0.257087,1.540397253,25.69,1470.0,5663.0,0.915,1.034,4.53,0
1,0.021279,2.99025443,1.7,918.0,4667.0,0.731,0.737,4.578,0
1,0.115879,1.594745374,11.3,1539.0,5934.0,0.893,0.901,4.491,1
1,0.028315,4.783002698,2.5,886.0,5170.0,0.807,0.891,4.574,1
1,0.041039,20.50588921,3.41,518.0,4905.0,0.761,0.739,4.544,1
4,0.037683,3.340218842,2.03,656.0,3950.0,0.493,0.502,4.754,1
1,0.295115,2.507089906,30.26,1326.0,5926.0,0.939,1.03,4.506,0
3,0.027096,18.64932728,3.12,701.0,5775.0,1.053,1.026,4.405,1
4,0.011136,4.90144976,1.7,1262.0,5847.0,1.402,1.113,4.191,1
3,0.024042,9.75192101,2.76,870.0,5775.0,1.053,1.026,4.405,1
3,0.03498,38.5576546,4.02,550.0,5775.0,1.053,1.026,4.405,1
1,0.13372,3.525632539,11.58,975.0,5150.0,0.793,0.855,4.572,1
1,0.046615,7.748094239,5.52,964.0,5973.0,1.085,1.181,4.439,1
2,0.03141,23.96793669,1.8,329.0,3747.0,0.524,0.536,4.728,1
2,0.03178,8.29561738,1.82,469.0,3747.0,0.524,0.536,4.728,1
1,0.037204,8.11437482,2.1,460.0,3692.0,0.517,0.553,4.753,1
1,0.27018,38.03672948,27.5,500.0,5575.0,0.932,1.051,4.521,0
1,0.151387,3.747838198,13.65,1031.0,5514.0,0.826,0.926,4.569,0
4,0.018864,14.74914825,2.89,874.0,5847.0,1.402,1.113,4.191,1
1,0.030952,21.81295996,3.38,639.0,5601.0,0.999,0.934,4.41,1
1,0.121984,7.91936937,10.34,814.0,5690.0,0.776,0.852,4.588,0
1,0.12103,15.37562369,11.01,600.0,4986.0,0.833,0.793,4.496,1
2,0.026361,8.10363271,2.11,687.0,4861.0,0.732,0.733,4.574,1
2,0.018268,4.71510843,1.46,823.0,4861.0,0.732,0.733,4.574,1
1,0.026275,6.365839713,2.44,914.0,5776.0,0.849,0.939,4.554,1
1,0.035468,5.97581754,3.86,1047.0,6108.0,0.997,1.072,4.471,0
1,0.278526,2.446737317,26.25,1261.0,5764.0,0.863,0.959,4.548,0
1,0.104023,3.04033046,8.99,1021.0,5035.0,0.791,0.754,4.519,1
5,0.056,15.33528675,5.0,610.0,5251.0,0.817,0.926,4.581,1
4,0.006915,7.95825328,1.06,1074.0,5847.0,1.402,1.113,4.191,1
5,0.072904,31.33046135,6.5,481.0,5251.0,0.817,0.926,4.581,1
1,0.125229,3.9043425,12.28,1104.0,5810.0,0.898,0.989,4.526,0
1,0.19639,9.286358079,17.61,796.0,5670.0,0.821,0.82,4.523,0
1,0.331342,3.951405455,31.44,1133.0,6046.0,0.869,0.953,4.539,0
5,0.05219,23.65369415,7.89,731.0,5739.0,1.384,1.083,4.191,1
5,0.020278,13.23352214,3.06,888.0,5739.0,1.384,1.083,4.191,1
5,0.015336,6.15560285,2.32,1146.0,5739.0,1.384,1.083,4.191,1
5,0.010686,2.090811305,1.62,1642.0,5739.0,1.384,1.083,4.191,1
4,0.009989,3.180027898,1.53,1458.0,5847.0,1.402,1.113,4.191,1
5,0.01767,50.4467417,2.67,568.0,5739.0,1.384,1.083,4.191,1
2,0.028519,11.76307164,2.35,616.0,4959.0,0.756,0.849,4.603,1
2,0.028683,56.2279271,2.37,366.0,4959.0,0.756,0.849,4.603,1
1,0.222925,2.384052875,17.06,1010.0,4794.0,0.701,0.683,4.58,0
2,0.026448,7.953547,2.25,696.0,4768.0,0.779,0.759,4.536,1
2,0.017441,4.14451656,1.48,864.0,4768.0,0.779,0.759,4.536,1
1,0.355227,4.859386384,38.33,1114.0,6072.0,0.988,1.05,4.47,0
1,0.095143,10.52629458,8.24,713.0,5386.0,0.793,0.82,4.553,1
1,0.056287,4.583520948,5.39,1038.0,5815.0,0.877,0.973,4.54,1
1,0.025656,3.76181843,2.66,1121.0,5653.0,0.949,0.974,4.472,1
2,0.033372,8.20396958,3.01,742.0,5015.0,0.826,0.785,4.499,1
2,0.033377,14.49645186,3.01,613.0,5015.0,0.826,0.785,4.499,1
5,0.024555,6.54626149,2.19,810.0,5251.0,0.817,0.926,4.581,1
2,0.030871,12.71809866,2.31,562.0,4702.0,0.686,0.67,4.592,1
2,0.035281,36.06588163,2.64,397.0,4702.0,0.686,0.67,4.592,1
1,0.050076,4.190425659,6.21,1234.0,6073.0,1.135,1.163,4.392,1
1,0.040686,3.709870784,4.35,1151.0,5727.0,0.978,1.013,4.463,1
1,0.034822,16.3297527,3.75,727.0,5878.0,0.987,0.989,4.444,1
1,0.161479,27.80756622,13.84,554.0,5862.0,0.785,0.865,4.584,1
1,0.056129,80.8723469,7.59,452.0,5510.0,1.238,0.932,4.222,1
1,0.348902,3.166465862,26.82,954.0,4968.0,0.704,0.68,4.575,0
1,0.015956,24.99324319,2.29,712.0,5718.0,1.317,0.961,4.181,1
1,0.024674,10.35533116,2.47,777.0,5501.0,0.918,0.891,4.462,1
1,0.040767,16.08518937,3.68,613.0,5239.0,0.826,0.83,4.523,1
4,0.029843,7.49018305,2.56,753.0,5103.0,0.787,0.823,4.562,1
4,0.035273,36.2761238,3.03,445.0,5103.0,0.787,0.823,4.562,1
4,0.026969,17.46087931,2.32,568.0,5103.0,0.787,0.823,4.562,1
1,0.036134,56.0560754,1.94,233.0,3593.0,0.491,0.503,4.757,1
1,0.139516,41.40831669,11.38,453.0,5522.0,0.747,0.786,4.586,1
2,0.027348,5.715425977,2.47,850.0,5237.0,0.826,0.927,4.572,1
2,0.036501,49.18394185,8.2,669.0,5626.0,2.057,1.247,3.907,1
2,0.025305,20.0261412,2.28,559.0,5237.0,0.826,0.927,4.572,1
1,0.030416,10.44331991,2.66,667.0,4947.0,0.802,0.769,4.516,0
1,0.015942,2.237489571,1.41,1160.0,5265.0,0.81,0.91,4.58,1
1,0.166109,5.851520671,14.62,901.0,5532.0,0.806,0.804,4.53,0
1,0.025513,3.167893418,2.62,1221.0,5895.0,0.94,1.026,4.503,1
3,0.030716,4.311780262,3.11,1038.0,5527.0,0.927,0.956,4.484,1
3,0.026569,20.0504494,2.69,622.0,5527.0,0.927,0.956,4.484,1
3,0.026407,9.76734503,2.67,791.0,5527.0,0.927,0.956,4.484,1
