Kepler_OI_Name,Number_of_Planets,Planet_Radius_Earth,Equalibrium_Temp_K,Orbit_Period_Days,Star_Radius_Sun,Star_Temp_K,Star_Mass_Sun,Star_Surface_Gravity,Planet_Star_Radius_Ratio,Status
K00806.01,5,8.9,308.0,143.2063047,0.867,5485.0,0.986,4.556,0.094044,1
K00116.03,4,0.79,1021.0,6.164876,1.012,5854.0,0.951,4.406,0.007192,1
K00806.02,5,12.19,411.0,60.32494216,0.867,5485.0,0.986,4.556,0.128744,1
K00806.03,5,1.91,524.0,29.1598615,0.867,5485.0,0.986,4.556,0.02018,1
K00807.01,1,25.69,1470.0,1.540397253,0.915,5663.0,1.034,4.53,0.257087,0
K00808.01,1,1.7,918.0,2.99025443,0.731,4667.0,0.737,4.578,0.021279,0
K00809.01,1,11.3,1539.0,1.594745374,0.893,5934.0,0.901,4.491,0.115879,1
K00810.01,1,2.5,886.0,4.783002698,0.807,5170.0,0.891,4.574,0.028315,1
K00811.01,1,3.41,518.0,20.50588921,0.761,4905.0,0.739,4.544,0.041039,1
K00812.01,4,2.03,656.0,3.340218842,0.493,3950.0,0.502,4.754,0.037683,1
K00828.01,1,30.26,1326.0,2.507089906,0.939,5926.0,1.03,4.506,0.295115,0
K00829.01,3,3.12,701.0,18.64932728,1.053,5775.0,1.026,4.405,0.027096,1
K00117.02,4,1.7,1262.0,4.90144976,1.402,5847.0,1.113,4.191,0.011136,1
K00829.02,3,2.76,870.0,9.75192101,1.053,5775.0,1.026,4.405,0.024042,1
K00829.03,3,4.02,550.0,38.5576546,1.053,5775.0,1.026,4.405,0.03498,1
K00830.01,1,11.58,975.0,3.525632539,0.793,5150.0,0.855,4.572,0.13372,1
K00816.01,1,5.52,964.0,7.748094239,1.085,5973.0,1.181,4.439,0.046615,1
K00817.01,2,1.8,329.0,23.96793669,0.524,3747.0,0.536,4.728,0.03141,1
K00817.02,2,1.82,469.0,8.29561738,0.524,3747.0,0.536,4.728,0.03178,1
K00818.01,1,2.1,460.0,8.11437482,0.517,3692.0,0.553,4.753,0.037204,1
K00819.01,1,27.5,500.0,38.03672948,0.932,5575.0,1.051,4.521,0.27018,0
K00011.01,1,13.65,1031.0,3.747838198,0.826,5514.0,0.926,4.569,0.151387,0
K00117.01,4,2.89,874.0,14.74914825,1.402,5847.0,1.113,4.191,0.018864,1
K00821.01,1,3.38,639.0,21.81295996,0.999,5601.0,0.934,4.41,0.030952,1
K00822.01,1,10.34,814.0,7.91936937,0.776,5690.0,0.852,4.588,0.121984,0
K00824.01,1,11.01,600.0,15.37562369,0.833,4986.0,0.793,4.496,0.12103,1
K00825.01,2,2.11,687.0,8.10363271,0.732,4861.0,0.733,4.574,0.026361,1
K00825.02,2,1.46,823.0,4.71510843,0.732,4861.0,0.733,4.574,0.018268,1
K00826.01,1,2.44,914.0,6.365839713,0.849,5776.0,0.939,4.554,0.026275,1
K00827.01,1,3.86,1047.0,5.97581754,0.997,6108.0,1.072,4.471,0.035468,0
K00839.01,1,26.25,1261.0,2.446737317,0.863,5764.0,0.959,4.548,0.278526,0
K00840.01,1,8.99,1021.0,3.04033046,0.791,5035.0,0.754,4.519,0.104023,1
K00841.01,5,5.0,610.0,15.33528675,0.817,5251.0,0.926,4.581,0.056,1
K00117.04,4,1.06,1074.0,7.95825328,1.402,5847.0,1.113,4.191,0.006915,1
K00841.02,5,6.5,481.0,31.33046135,0.817,5251.0,0.926,4.581,0.072904,1
K00831.01,1,12.28,1104.0,3.9043425,0.898,5810.0,0.989,4.526,0.125229,0
K00832.01,1,17.61,796.0,9.286358079,0.821,5670.0,0.82,4.523,0.19639,0
K00833.01,1,31.44,1133.0,3.951405455,0.869,6046.0,0.953,4.539,0.331342,0
K00834.01,5,7.89,731.0,23.65369415,1.384,5739.0,1.083,4.191,0.05219,1
K00834.02,5,3.06,888.0,13.23352214,1.384,5739.0,1.083,4.191,0.020278,1
K00834.03,5,2.32,1146.0,6.15560285,1.384,5739.0,1.083,4.191,0.015336,1
K00834.04,5,1.62,1642.0,2.090811305,1.384,5739.0,1.083,4.191,0.010686,1
K00117.03,4,1.53,1458.0,3.180027898,1.402,5847.0,1.113,4.191,0.009989,1
K00834.05,5,2.67,568.0,50.4467417,1.384,5739.0,1.083,4.191,0.01767,1
K00835.01,2,2.35,616.0,11.76307164,0.756,4959.0,0.849,4.603,0.028519,1
K00835.02,2,2.37,366.0,56.2279271,0.756,4959.0,0.849,4.603,0.028683,1
K00836.01,1,17.06,1010.0,2.384052875,0.701,4794.0,0.683,4.58,0.222925,0
K00837.01,2,2.25,696.0,7.953547,0.779,4768.0,0.759,4.536,0.026448,1
K00837.02,2,1.48,864.0,4.14451656,0.779,4768.0,0.759,4.536,0.017441,1
K00838.01,1,38.33,1114.0,4.859386384,0.988,6072.0,1.05,4.47,0.355227,0
K00850.01,1,8.24,713.0,10.52629458,0.793,5386.0,0.82,4.553,0.095143,1
K00851.01,1,5.39,1038.0,4.583520948,0.877,5815.0,0.973,4.54,0.056287,1
K00852.01,1,2.66,1121.0,3.76181843,0.949,5653.0,0.974,4.472,0.025656,1
K00853.01,2,3.01,742.0,8.20396958,0.826,5015.0,0.785,4.499,0.033372,1
K00853.02,2,3.01,613.0,14.49645186,0.826,5015.0,0.785,4.499,0.033377,1
K00841.03,5,2.19,810.0,6.54626149,0.817,5251.0,0.926,4.581,0.024555,1
K00842.01,2,2.31,562.0,12.71809866,0.686,4702.0,0.67,4.592,0.030871,1
K00842.02,2,2.64,397.0,36.06588163,0.686,4702.0,0.67,4.592,0.035281,1
K00843.01,1,6.21,1234.0,4.190425659,1.135,6073.0,1.163,4.392,0.050076,1
K00844.01,1,4.35,1151.0,3.709870784,0.978,5727.0,1.013,4.463,0.040686,1
K00845.01,1,3.75,727.0,16.3297527,0.987,5878.0,0.989,4.444,0.034822,1
K00846.01,1,13.84,554.0,27.80756622,0.785,5862.0,0.865,4.584,0.161479,1
K00847.01,1,7.59,452.0,80.8723469,1.238,5510.0,0.932,4.222,0.056129,1
K00848.01,1,26.82,954.0,3.166465862,0.704,4968.0,0.68,4.575,0.348902,0
K00118.01,1,2.29,712.0,24.99324319,1.317,5718.0,0.961,4.181,0.015956,1
K00849.01,1,2.47,777.0,10.35533116,0.918,5501.0,0.891,4.462,0.024674,1
K00867.01,1,3.68,613.0,16.08518937,0.826,5239.0,0.83,4.523,0.040767,1
K00869.01,4,2.56,753.0,7.49018305,0.787,5103.0,0.823,4.562,0.029843,1
K00869.02,4,3.03,445.0,36.2761238,0.787,5103.0,0.823,4.562,0.035273,1
K00869.03,4,2.32,568.0,17.46087931,0.787,5103.0,0.823,4.562,0.026969,1
K00854.01,1,1.94,233.0,56.0560754,0.491,3593.0,0.503,4.757,0.036134,1
K00855.01,1,11.38,453.0,41.40831669,0.747,5522.0,0.786,4.586,0.139516,1
K00857.01,2,2.47,850.0,5.715425977,0.826,5237.0,0.927,4.572,0.027348,1
K00119.01,2,8.2,669.0,49.18394185,2.057,5626.0,1.247,3.907,0.036501,1
K00857.02,2,2.28,559.0,20.0261412,0.826,5237.0,0.927,4.572,0.025305,1
K00859.01,1,2.66,667.0,10.44331991,0.802,4947.0,0.769,4.516,0.030416,0
K00861.01,1,1.41,1160.0,2.237489571,0.81,5265.0,0.91,4.58,0.015942,1
K00862.01,1,14.62,901.0,5.851520671,0.806,5532.0,0.804,4.53,0.166109,0
K00863.01,1,2.62,1221.0,3.167893418,0.94,5895.0,1.026,4.503,0.025513,1
K00864.01,3,3.11,1038.0,4.311780262,0.927,5527.0,0.956,4.484,0.030716,1
K00864.02,3,2.69,622.0,20.0504494,0.927,5527.0,0.956,4.484,0.026569,1
K00864.03,3,2.67,791.0,9.76734503,0.927,5527.0,0.956,4.484,0.026407,1
K00119.02,2,7.78,426.0,190.3200468,2.057,5626.0,1.247,3.907,0.034654,1
K00866.01,1,4.37,1355.0,2.861159894,1.021,6126.0,1.09,4.458,0.039171,0
K00880.01,4,3.91,562.0,26.44439337,0.929,5427.0,0.915,4.463,0.038511,1
K00880.02,4,5.51,450.0,51.53997972,0.929,5427.0,0.915,4.463,0.05435,1
K00880.03,4,2.43,926.0,5.902245782,0.929,5427.0,0.915,4.463,0.023909,1
K00880.04,4,1.86,1253.0,2.382951591,0.929,5427.0,0.915,4.463,0.018369,1
K00881.01,2,3.07,521.0,21.02250608,0.75,5067.0,0.789,4.585,0.037466,1
K00869.04,4,1.69,998.0,3.219814777,0.787,5103.0,0.823,4.562,0.019702,1
K00870.01,2,1.73,585.0,5.912273234,0.57,4072.0,0.586,4.696,0.027826,1
K00870.02,2,1.65,509.0,8.98581901,0.57,4072.0,0.586,4.696,0.026527,1
K00120.01,1,2.41,742.0,20.5452375,1.264,5670.0,0.937,4.206,0.017424,0
K00872.01,2,8.46,495.0,33.60123371,0.93,5149.0,0.882,4.447,0.083298,1
K00872.02,2,1.97,845.0,6.76652928,0.93,5149.0,0.882,4.447,0.019382,1
K00873.01,1,2.36,1174.0,4.347288783,1.122,5754.0,1.014,4.345,0.019273,1
K00874.01,2,2.35,896.0,4.601811819,0.833,4986.0,0.793,4.496,0.02579,1
K00874.02,2,1.55,667.0,11.18719905,0.833,4986.0,0.793,4.496,0.017042,1
K00875.01,1,2.62,595.0,4.220965778,0.517,3837.0,0.544,4.747,0.046401,1
K00876.01,1,588.66,853.0,6.998099523,0.829,5612.0,0.926,4.566,6.502574,0
K00877.01,3,2.33,635.0,5.95489993,0.633,4261.0,0.64,4.641,0.033728,1
K00877.02,3,2.18,502.0,12.03987488,0.633,4261.0,0.64,4.641,0.031605,1
K00877.03,3,1.42,418.0,20.83762895,0.633,4261.0,0.64,4.641,0.020532,1
K00121.01,1,63.66,1399.0,8.8111022,2.404,6200.0,1.333,3.8,0.242511,0
K00878.01,1,3.16,487.0,23.58917143,0.721,4919.0,0.697,4.566,0.040151,1
K00123.01,2,2.54,1145.0,6.481633073,1.302,5945.0,1.009,4.213,0.017836,1
K00892.01,2,3.2,720.0,10.37168928,0.888,5121.0,0.822,4.457,0.033023,1
K00892.02,2,1.78,992.0,3.96996298,0.888,5121.0,0.822,4.457,0.018305,1
K00893.01,1,2.66,1139.0,4.40841331,0.961,6007.0,0.968,4.457,0.025379,1
K00894.01,1,4.68,878.0,7.9426176,0.926,5811.0,1.036,4.521,0.046289,0
K00881.02,2,4.53,236.0,226.8904775,0.75,5067.0,0.789,4.585,0.055361,1
K00882.01,1,21.58,1109.0,1.956811408,0.603,5209.0,0.602,4.657,0.327759,0
K00884.01,3,4.16,686.0,9.439459486,0.779,5097.0,0.891,4.597,0.048953,1
K00122.01,1,3.13,927.0,11.52306746,1.411,5644.0,1.053,4.162,0.020288,1
K00884.02,3,2.92,530.0,20.47748843,0.779,5097.0,0.891,4.597,0.034376,1
K00884.03,3,1.74,970.0,3.336123113,0.779,5097.0,0.891,4.597,0.020396,1
K00886.01,3,1.72,453.0,8.01078456,0.47,3713.0,0.484,4.779,0.03347,1
K00886.02,3,1.29,395.0,12.07134205,0.47,3713.0,0.484,4.779,0.025158,1
K00886.03,3,1.3,328.0,20.99587872,0.47,3713.0,0.484,4.779,0.025412,1
K00887.01,1,2.45,905.0,7.41113177,0.919,5849.0,1.014,4.517,0.024438,1
K00888.01,1,4.14,1620.0,1.000747038,0.79,5472.0,0.718,4.499,0.047993,0
K00889.01,1,10.51,770.0,8.884922995,0.843,5332.0,0.821,4.5,0.114124,1
K00890.01,1,8.95,986.0,8.09888906,1.076,6214.0,1.169,4.442,0.076211,1
K00891.01,1,3.52,876.0,10.00653012,1.001,6063.0,1.079,4.47,0.032174,1
K00012.01,1,13.16,911.0,17.85522168,1.367,6823.0,1.386,4.308,0.08815,1
K00903.01,1,6.96,998.0,5.007316661,0.827,5865.0,0.914,4.563,0.077106,1
K00904.01,5,1.85,931.0,2.211116989,0.646,4500.0,0.71,4.656,0.026289,1
K00904.02,5,1.9,400.0,27.9541337,0.646,4500.0,0.71,4.656,0.026973,1
K00124.01,2,2.57,1008.0,12.69104387,1.626,5869.0,1.019,4.024,0.014487,1
K00895.01,1,10.95,1101.0,4.409409243,0.975,5600.0,0.811,4.368,0.10287,0
K00896.01,3,4.14,598.0,16.23947096,0.837,5191.0,0.937,4.564,0.045252,1
K00896.02,3,2.96,819.0,6.308201629,0.837,5191.0,0.937,4.564,0.032418,1
K00897.01,1,13.12,1497.0,2.052349884,1.08,5855.0,1.049,4.393,0.11123,1
K00898.01,3,2.23,460.0,9.7704486,0.509,3906.0,0.508,4.73,0.040133,1
K00898.02,3,1.66,569.0,5.169804269,0.509,3906.0,0.508,4.73,0.029936,1
K00123.02,2,2.48,771.0,21.22261195,1.302,5945.0,1.009,4.213,0.01746,1
K00898.03,3,2.25,362.0,20.09017037,0.509,3906.0,0.508,4.73,0.040437,1
K00899.01,3,1.16,429.0,7.11373257,0.411,3561.0,0.44,4.855,0.025862,1
K00899.02,3,0.91,554.0,3.306551643,0.411,3561.0,0.44,4.855,0.020275,1
K00899.03,3,1.11,332.0,15.36845737,0.411,3561.0,0.44,4.855,0.02471,1
K00900.01,1,4.56,833.0,13.81020318,1.142,5942.0,1.009,4.327,0.036595,1
K00911.01,2,2.85,1182.0,4.093578461,0.999,6077.0,1.077,4.471,0.026123,1
K00911.02,2,3.43,401.0,105.145959,0.999,6077.0,1.077,4.471,0.031397,1
K00912.01,2,2.34,499.0,10.8484518,0.591,4201.0,0.609,4.682,0.036303,1
K00912.02,2,1.18,587.0,6.66833241,0.591,4201.0,0.609,4.682,0.018246,1
K00913.01,1,10.55,1016.0,4.082274889,0.794,5655.0,0.886,4.581,0.121652,1
K00904.03,5,1.85,349.0,42.1406089,0.646,4500.0,0.71,4.656,0.026274,1
K00904.04,5,1.62,728.0,4.617490562,0.646,4500.0,0.71,4.656,0.023024,1
K00904.05,5,1.75,559.0,10.19849255,0.646,4500.0,0.71,4.656,0.024778,1
K00905.01,1,4.33,950.0,5.795063956,0.827,5865.0,0.914,4.563,0.047975,0
K00906.01,3,2.47,782.0,7.15681552,0.838,5029.0,0.798,4.494,0.026979,1
K00906.02,3,2.43,579.0,17.64830851,0.838,5029.0,0.798,4.494,0.026581,1
K00906.03,3,1.08,938.0,4.14810719,0.838,5029.0,0.798,4.494,0.011755,1
K00907.01,4,2.72,655.0,16.51410989,0.866,5527.0,0.841,4.488,0.028718,1
K00907.02,4,3.14,536.0,30.1329298,0.866,5527.0,0.841,4.488,0.03322,1
K00907.03,4,1.36,990.0,4.79090809,0.866,5527.0,0.841,4.488,0.014349,1
K00124.02,2,3.09,743.0,31.71981013,1.626,5869.0,1.019,4.024,0.017414,1
K00907.04,4,2.64,360.0,99.6415962,0.866,5527.0,0.841,4.488,0.027879,1
K00908.01,1,10.6,1162.0,4.708326451,1.21,5560.0,0.94,4.246,0.080242,1
K00909.01,1,540.37,438.0,16.37198661,0.592,4187.0,0.58,4.656,8.358793,0
K00910.01,1,2.68,850.0,5.392026903,0.801,5198.0,0.915,4.589,0.030649,1
K00929.01,2,9.66,1062.0,6.491682808,1.107,6123.0,1.159,4.413,0.079893,1
K00930.01,1,24.54,1076.0,3.044770796,0.753,5525.0,0.843,4.603,0.298444,0
K00931.01,1,13.61,1212.0,3.855603916,1.046,6033.0,1.153,4.46,0.119176,1
K00932.01,1,3.57,1158.0,3.855599139,0.965,5936.0,1.075,4.501,0.033907,0
K00125.01,1,13.26,484.0,38.47876629,0.879,5510.0,0.973,4.539,0.138123,1
K00915.01,1,27.22,606.0,37.60166128,1.096,6140.0,0.989,4.354,0.227443,0
K00916.01,1,3.94,1155.0,3.314947362,0.944,5609.0,0.983,4.481,0.038195,1
K00917.01,1,4.37,952.0,6.71969089,0.866,5931.0,0.825,4.479,0.046245,0
K00918.01,2,10.98,472.0,39.6431552,0.9,5231.0,0.844,4.455,0.111685,1
K00919.01,1,29.66,549.0,51.42598578,1.147,6257.0,1.233,4.41,0.236829,0
K00920.01,1,2.6,543.0,21.80451611,0.708,5481.0,0.806,4.629,0.033653,1
K00921.01,3,2.53,680.0,10.28194593,0.775,5196.0,0.869,4.593,0.029849,1
K00921.02,3,2.95,563.0,18.11993039,0.775,5196.0,0.869,4.593,0.034825,1
K00921.03,3,1.7,949.0,3.78402867,0.775,5196.0,0.869,4.593,0.020134,1
K00922.01,1,2.94,964.0,5.15448142,0.884,5431.0,0.816,4.457,0.030415,1
K00126.01,2,20.7,745.0,33.80364366,1.796,5855.0,1.174,3.999,0.105539,0
K00923.01,1,3.13,982.0,5.743469797,0.891,5897.0,0.983,4.531,0.032147,1
K00925.01,1,26.56,700.0,19.97448524,0.997,6108.0,1.072,4.471,0.243941,0
K00926.01,1,3.82,1273.0,3.166353562,0.998,6007.0,1.072,4.47,0.035047,1
K00927.01,1,44.04,652.0,23.89963441,0.924,6192.0,0.991,4.503,0.436512,0
K00939.01,4,2.11,1315.0,3.388012244,1.25,5553.0,0.949,4.221,0.015454,1
K00939.02,4,2.06,1097.0,5.83909761,1.25,5553.0,0.949,4.221,0.015116,1
K00939.03,4,1.57,1681.0,1.620467654,1.25,5553.0,0.949,4.221,0.011493,1
K00939.04,4,2.3,897.0,10.6816951,1.25,5553.0,0.949,4.221,0.016847,1
K00940.01,1,3.18,784.0,6.104849417,0.712,5085.0,0.71,4.584,0.04092,1
K00127.01,1,10.43,1145.0,3.578780566,0.994,5524.0,0.95,4.421,0.096067,1
K00933.01,1,23.88,1079.0,3.187067566,0.811,5450.0,0.857,4.552,0.269659,0
K00934.01,3,4.09,1013.0,5.826657508,1.06,5561.0,0.943,4.362,0.035356,1
K00934.02,3,2.58,787.0,12.41216347,1.06,5561.0,0.943,4.362,0.02227,1
K00934.03,3,3.05,686.0,18.74649011,1.06,5561.0,0.943,4.362,0.026327,1
K00935.01,4,5.5,781.0,20.86021229,1.257,6035.0,0.958,4.22,0.040067,1
K00935.02,4,5.22,615.0,42.63427848,1.257,6035.0,0.958,4.22,0.038058,1
K00935.03,4,4.0,484.0,87.6476068,1.257,6035.0,0.958,4.22,0.029163,1
K00936.01,2,2.13,407.0,9.467821474,0.458,3582.0,0.491,4.807,0.042684,1
K00936.02,2,1.24,893.0,0.893040969,0.458,3582.0,0.491,4.807,0.024717,1
K00128.01,1,10.62,1008.0,4.942783419,0.978,5514.0,1.003,4.459,0.099444,1
K00937.01,1,2.74,595.0,20.83426731,0.88,5537.0,0.999,4.549,0.028495,1
K00938.01,3,3.12,807.0,9.94602357,1.013,5344.0,0.867,4.365,0.028229,1
K00938.02,3,1.45,1710.0,1.04562195,1.013,5344.0,0.867,4.365,0.013092,1
K00938.03,3,1.78,971.0,5.71462396,1.013,5344.0,0.867,4.365,0.016046,1
K00145.01,1,39.0,797.0,102.9641952,7.119,5047.0,2.15,3.066,0.050162,0
K01102.02,4,3.43,1050.0,8.14515981,1.24,5896.0,0.884,4.197,0.025296,1
K01102.03,4,43.17,792.0,18.9985279,1.24,5896.0,0.884,4.197,0.318792,1
K01102.04,4,2.07,1305.0,4.24439049,1.24,5896.0,0.884,4.197,0.015253,1
